feature,label
are growing with spot treatment on,-1
asking for,1
burn,4
can have,6
cultivated were weed,-1
find,1
has on,2
is,1
is bad news for,0
is designed for,5
lies in,2
manufactures have bugs in,3
must agree in type with,1
place,2
produce,3
puts,2
shrubs,-1
use on,5
will not look like,0
